,Red_Win,Blue_Win,Red_Champions,Blue_Champions
0,False,True,"[875, 120, 127, 235, 147]","[24, 56, 161, 22, 432]"
1,False,True,"[92, 56, 142, 29, 57]","[166, 35, 30, 21, 497]"
2,True,False,"[58, 35, 518, 147, 235]","[122, 245, 777, 429, 117]"
3,True,False,"[54, 254, 13, 360, 53]","[92, 234, 127, 51, 163]"
4,True,False,"[114, 876, 157, 81, 235]","[420, 79, 34, 29, 57]"
5,False,True,"[266, 163, 126, 235, 63]","[166, 245, 134, 51, 43]"
6,True,False,"[82, 76, 950, 119, 40]","[166, 121, 24, 67, 143]"
7,True,False,"[136, 77, 518, 81, 40]","[114, 120, 105, 910, 497]"
8,True,False,"[114, 121, 910, 202, 111]","[150, 234, 84, 110, 518]"
9,True,False,"[92, 20, 84, 81, 43]","[122, 5, 4, 22, 432]"
10,False,True,"[266, 141, 910, 45, 117]","[777, 64, 157, 235, 147]"
11,True,False,"[84, 107, 4, 202, 22]","[23, 141, 55, 236, 40]"
12,True,False,"[92, 876, 166, 235, 147]","[54, 107, 101, 119, 164]"
13,False,True,"[23, 64, 236, 147, 37]","[6, 104, 163, 910, 526]"
14,False,True,"[58, 876, 246, 119, 117]","[48, 107, 84, 29, 888]"
15,True,False,"[98, 76, 777, 51, 99]","[19, 104, 38, 110, 555]"
16,False,True,"[54, 104, 910, 523, 40]","[266, 427, 134, 236, 267]"
17,False,True,"[27, 5, 91, 147, 235]","[24, 876, 246, 236, 902]"
18,True,False,"[897, 30, 18, 223, 235]","[92, 63, 950, 110, 111]"
19,True,False,"[55, 63, 126, 222, 902]","[266, 121, 84, 110, 34]"
20,False,True,"[25, 777, 238, 7, 110]","[10, 412, 56, 91, 22]"
21,True,False,"[85, 121, 39, 67, 350]","[24, 876, 61, 221, 555]"
22,True,False,"[43, 234, 131, 523, 201]","[83, 141, 38, 236, 902]"
23,False,True,"[14, 35, 517, 202, 40]","[122, 203, 103, 67, 526]"
24,True,False,"[777, 64, 268, 157, 40]","[240, 48, 516, 202, 53]"
25,False,True,"[92, 104, 4, 29, 902]","[122, 28, 13, 81, 40]"
26,False,True,"[420, 107, 43, 42, 22]","[39, 30, 166, 429, 12]"
27,False,True,"[4, 56, 112, 236, 902]","[113, 876, 777, 29, 267]"
28,False,True,"[897, 60, 777, 523, 40]","[92, 78, 45, 236, 432]"
29,True,False,"[86, 63, 163, 21, 555]","[84, 56, 61, 119, 201]"
30,True,False,"[98, 28, 99, 895, 37]","[887, 121, 91, 429, 16]"
31,False,True,"[266, 163, 777, 238, 59]","[24, 876, 157, 147, 432]"
32,True,False,"[266, 427, 134, 51, 40]","[240, 29, 61, 429, 111]"
33,True,False,"[68, 163, 157, 21, 43]","[122, 91, 103, 360, 555]"
34,False,True,"[40, 121, 105, 67, 117]","[131, 141, 68, 145, 111]"
35,False,True,"[17, 14, 518, 555, 360]","[266, 876, 44, 202, 11]"
36,False,True,"[77, 68, 246, 429, 555]","[777, 876, 268, 81, 235]"
37,True,False,"[98, 421, 42, 51, 142]","[23, 28, 115, 110, 43]"
38,True,False,"[67, 79, 105, 51, 43]","[107, 876, 157, 15, 53]"
39,False,True,"[875, 5, 161, 110, 517]","[78, 233, 8, 81, 43]"
40,True,False,"[68, 64, 157, 22, 902]","[92, 79, 268, 523, 117]"
41,True,False,"[126, 876, 69, 523, 902]","[43, 57, 110, 777, 143]"
42,False,True,"[150, 104, 7, 157, 40]","[777, 5, 34, 81, 143]"
